1,1,1996-05-20 00:00:00,1996-10-20 00:00:00,Committee 1996-1997,2008-08-22 00:00:00,2008-08-22 00:00:00
2,1,1997-05-20 00:00:00,1997-10-20 00:00:00,Committee 1997-1998,2008-08-22 00:00:00,2008-08-22 00:00:00
3,1,1998-05-20 00:00:00,1998-10-20 00:00:00,Committee 1998-1999,2008-08-22 00:00:00,2008-08-22 00:00:00
4,1,1999-05-20 00:00:00,1999-10-20 00:00:00,Committee 1999-2000,2008-08-22 00:00:00,2008-08-22 00:00:00
5,1,2000-05-20 00:00:00,2000-10-20 00:00:00,Committee 2000-2001,2008-08-22 00:00:00,2008-08-22 00:00:00
6,1,2001-05-20 00:00:00,2001-10-20 00:00:00,Committee 2001-2002,2008-08-22 00:00:00,2008-08-22 00:00:00
7,1,2002-05-20 00:00:00,2002-10-20 00:00:00,Committee 2002-2003,2008-08-22 00:00:00,2008-08-22 00:00:00
8,1,2003-05-20 00:00:00,2003-10-20 00:00:00,Committee 2003-2004,2008-08-22 00:00:00,2008-08-22 00:00:00
9,1,2004-05-20 00:00:00,2004-10-20 00:00:00,Committee 2004-2005,2008-08-22 00:00:00,2008-08-22 00:00:00
10,1,2005-05-20 00:00:00,2005-10-20 00:00:00,Committee 2005-2006,2008-08-22 00:00:00,2008-08-22 00:00:00
11,1,2006-05-20 00:00:00,2006-10-20 00:00:00,Committee 2006-2007,2008-08-22 00:00:00,2008-08-22 00:00:00
12,1,2007-05-20 00:00:00,2007-10-20 00:00:00,Committee 2007-2008,2008-08-22 00:00:00,2008-08-22 00:00:00
